SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Brandstichting / ontploffing,Drenthe (PV),2010,177969,177969,215.0,1.0,0.4,45.0,21.5,75.0
Brandstichting / ontploffing,Drenthe (PV),2011,177970,177970,230.0,1.0,0.5,50.0,22.5,85.0
Brandstichting / ontploffing,Drenthe (PV),2012,177971,177971,250.0,1.0,0.5,55.0,21.2,90.0
Brandstichting / ontploffing,Drenthe (PV),2013,177972,177972,235.0,1.0,0.5,60.0,25.5,80.0
Brandstichting / ontploffing,Drenthe (PV),2014,177973,177973,220.0,1.0,0.4,55.0,24.1,80.0
Brandstichting / ontploffing,Drenthe (PV),2015,177974,177974,190.0,1.0,0.4,50.0,26.8,60.0
Brandstichting / ontploffing,Drenthe (PV),2016,177975,177975,135.0,1.0,0.3,30.0,23.5,50.0
Brandstichting / ontploffing,Drenthe (PV),2017,177976,177976,125.0,1.0,0.3,25.0,20.3,25.0
Brandstichting / ontploffing,Drenthe (PV),2018,177977,177977,125.0,1.0,0.2,35.0,30.1,40.0
Brandstichting / ontploffing,Drenthe (PV),2019,177978,177978,105.0,1.0,0.2,20.0,21.4,30.0
Brandstichting / ontploffing,Drenthe (PV),2020,177979,177979,165.0,1.0,0.3,35.0,19.8,55.0
Brandstichting / ontploffing,Flevoland (PV),2010,177991,177991,185.0,1.0,0.5,25.0,14.7,50.0
Brandstichting / ontploffing,Flevoland (PV),2011,177992,177992,170.0,1.0,0.4,35.0,19.3,45.0
Brandstichting / ontploffing,Flevoland (PV),2012,177993,177993,165.0,1.0,0.4,30.0,17.8,40.0
Brandstichting / ontploffing,Flevoland (PV),2013,177994,177994,165.0,1.0,0.4,35.0,20.5,65.0
Brandstichting / ontploffing,Flevoland (PV),2014,177995,177995,130.0,1.0,0.3,25.0,17.4,30.0
Brandstichting / ontploffing,Flevoland (PV),2015,177996,177996,140.0,1.0,0.3,25.0,17.4,30.0
Brandstichting / ontploffing,Flevoland (PV),2016,177997,177997,130.0,1.0,0.3,40.0,29.7,55.0
Brandstichting / ontploffing,Flevoland (PV),2017,177998,177998,120.0,1.0,0.3,25.0,21.8,35.0
Brandstichting / ontploffing,Flevoland (PV),2018,177999,177999,115.0,1.0,0.3,20.0,16.2,25.0
Brandstichting / ontploffing,Flevoland (PV),2019,178000,178000,100.0,1.0,0.2,20.0,18.4,25.0
Brandstichting / ontploffing,Flevoland (PV),2020,178001,178001,85.0,0.0,0.0,25.0,30.1,35.0
Brandstichting / ontploffing,Fryslân (PV),2010,177958,177958,255.0,1.0,0.4,80.0,30.4,100.0
Brandstichting / ontploffing,Fryslân (PV),2011,177959,177959,335.0,1.0,0.5,105.0,31.3,145.0
Brandstichting / ontploffing,Fryslân (PV),2012,177960,177960,200.0,1.0,0.3,55.0,28.2,85.0
Brandstichting / ontploffing,Fryslân (PV),2013,177961,177961,175.0,1.0,0.3,45.0,24.4,70.0
Brandstichting / ontploffing,Fryslân (PV),2014,177962,177962,205.0,1.0,0.3,50.0,23.7,60.0
Brandstichting / ontploffing,Fryslân (PV),2015,177963,177963,160.0,1.0,0.2,60.0,37.3,75.0
Brandstichting / ontploffing,Fryslân (PV),2016,177964,177964,135.0,1.0,0.2,45.0,35.3,75.0
Brandstichting / ontploffing,Fryslân (PV),2017,177965,177965,120.0,1.0,0.2,35.0,28.6,50.0
Brandstichting / ontploffing,Fryslân (PV),2018,177966,177966,120.0,1.0,0.2,40.0,35.0,60.0
Brandstichting / ontploffing,Fryslân (PV),2019,177967,177967,160.0,1.0,0.2,65.0,41.6,90.0
Brandstichting / ontploffing,Fryslân (PV),2020,177968,177968,155.0,1.0,0.2,40.0,25.5,80.0
Brandstichting / ontploffing,Gelderland (PV),2010,178002,178002,820.0,1.0,0.4,170.0,20.7,255.0
